gender,age,race_ethnicity,employment,state_name,vote_trump,vote_biden
Female,69,White,Not in labor force,Oregon,1,0
Female,61,White,Not in labor force,Illinois,1,0
Female,19,White,Unemployed,New Jersey,0,1
Female,72,White,Not in labor force,Texas,0,0
Female,54,White,Employed,California,1,0
Female,72,White,Unemployed,North Carolina,1,0
Female,70,White,Not in labor force,Florida,0,1
Female,53,White,Employed,Iowa,0,1
Female,52,White,Employed,Georgia,1,0
Male,40,White,Employed,Illinois,0,0
Female,63,White,Not in labor force,New York,0,1
Female,63,White,Employed,Washington,0,1
Female,38,White,Not in labor force,Michigan,0,1
Female,75,White,Not in labor force,South Carolina,0,0
Female,45,White,Not in labor force,Ohio,0,1
Female,30,White,Unemployed,Illinois,1,0
Female,66,White,Not in labor force,Massachusetts,0,1
Female,40,East Asian,Employed,Missouri,0,1
Female,49,White,Employed,Colorado,0,1
Female,57,White,Not in labor force,Illinois,1,0
Female,59,White,Employed,North Carolina,0,0
Female,60,White,Employed,North Carolina,1,0
Female,68,White,Not in labor force,New York,0,1
Female,58,White,Employed,Indiana,1,0
Female,33,East Asian,Employed,California,0,1
Female,26,White,Unemployed,Florida,1,0
Female,22,White,Not in labor force,Florida,0,0
Female,76,White,Not in labor force,Pennsylvania,1,0
Female,38,White,Employed,South Carolina,1,0
Female,53,White,Employed,Illinois,1,0
Female,19,Black or African American,Student,Pennsylvania,0,0
Female,64,White,Not in labor force,Ohio,0,1
Male,49,White,Employed,New York,1,0
Male,66,White,Not in labor force,Iowa,1,0
Female,56,White,Employed,Wisconsin,1,0
Female,26,White,Not in labor force,Connecticut,0,1
Female,58,White,Employed,Pennsylvania,1,0
Female,72,White,Employed,New Jersey,0,1
Male,70,White,Not in labor force,Pennsylvania,0,1
Male,25,White,Unemployed,Georgia,1,0
Female,40,White,Employed,New York,0,1
Male,42,White,Employed,Florida,1,0
Male,26,Black or African American,Unemployed,Florida,0,1
Male,45,East Asian,Unemployed,New York,0,1
Female,57,White,Not in labor force,Georgia,1,0
Female,55,White,Employed,Illinois,1,0
Male,70,White,Not in labor force,New Mexico,0,1
Female,55,White,Not in labor force,Tennessee,0,1
Female,46,East Asian,Not in labor force,California,0,1
Female,32,White,Not in labor force,North Carolina,1,0
Female,66,White,Employed,Virginia,1,0
Male,35,White,Employed,Minnesota,1,0
Male,71,White,Employed,Wisconsin,1,0
Male,34,White,Unemployed,Arizona,0,0
Female,37,White,Not in labor force,Pennsylvania,0,1
Female,27,White,Employed,Oklahoma,0,1
Female,61,White,Not in labor force,Illinois,1,0
Male,47,White,Employed,Florida,1,0
Female,45,White,Not in labor force,Texas,1,0
Female,26,White,Unemployed,Indiana,1,0
Male,53,White,Employed,Ohio,1,0
Male,20,Black or African American,Employed,Ohio,0,0
Male,65,White,Not in labor force,Arizona,0,1
Female,50,White,Employed,New Jersey,1,0
Male,67,White,Not in labor force,Colorado,0,1
Female,68,White,Not in labor force,Massachusetts,0,0
Male,55,East Asian,Employed,Pennsylvania,0,1
Female,48,White,Employed,Ohio,0,1
Female,18,White,Student,North Carolina,0,0
Male,68,East Asian,Not in labor force,Hawaii,0,1
Male,57,White,Employed,Connecticut,0,1
Female,32,White,Employed,Florida,0,1
Female,60,East Asian,Employed,Illinois,0,1
Male,65,White,Not in labor force,Wisconsin,0,1
Female,67,Black or African American,Unemployed,New Jersey,0,1
Female,52,White,Not in labor force,Texas,1,0
Male,73,White,Not in labor force,Texas,1,0
Female,79,White,Employed,Indiana,0,0
Male,81,White,Not in labor force,Montana,1,0
Female,66,White,Not in labor force,Pennsylvania,0,1
Female,55,White,Not in labor force,Texas,0,0
Female,38,White,Employed,California,0,1
Male,69,White,Unemployed,California,0,0
Female,62,White,Employed,Texas,1,0
Male,81,East Asian,Employed,California,1,0
Female,65,White,Not in labor force,Tennessee,1,0
Female,62,White,Employed,North Carolina,0,1
Female,21,White,Employed,Pennsylvania,1,0
Female,44,Other,Employed,Connecticut,0,1
Female,33,Black or African American,Not in labor force,Tennessee,1,0
Female,63,White,Not in labor force,Texas,0,1
Female,52,White,Employed,New Jersey,1,0
Male,27,White,Employed,Pennsylvania,0,0
Female,66,White,Not in labor force,New Jersey,0,0
Female,58,White,Employed,Tennessee,1,0
Female,60,White,Employed,Illinois,0,1
Female,29,Other Asian or Pacific Islander,Employed,Oregon,1,0
Male,28,Other,Unemployed,California,0,1
Female,40,White,Employed,Connecticut,0,1
Female,61,White,Not in labor force,Wisconsin,0,1
Female,76,White,Not in labor force,Massachusetts,1,0
Female,37,White,Student,Florida,0,1
Male,20,Black or African American,Student,Nevada,0,1
Female,67,White,Not in labor force,Vermont,0,1
Male,28,White,Employed,New York,0,1
Female,53,White,Employed,New Jersey,0,0
Male,30,White,Employed,Pennsylvania,1,0
Female,28,White,Not in labor force,Kentucky,1,0
Female,62,White,Employed,Maryland,1,0
Female,61,White,Employed,Illinois,0,0
Male,33,Black or African American,Unemployed,Illinois,0,1
Female,68,White,Not in labor force,Missouri,0,1
Female,52,White,Employed,Florida,1,0
Female,39,White,Employed,California,1,0
Female,73,White,Not in labor force,Montana,0,1
Female,38,Black or African American,Employed,Wisconsin,0,1
Male,50,White,Unemployed,South Carolina,0,1
Female,61,White,Employed,Illinois,1,0
Female,63,White,Other,Missouri,0,1
Female,67,White,Not in labor force,Texas,1,0
Male,35,Black or African American,Employed,Missouri,0,0
Female,60,White,Employed,Ohio,1,0
Male,52,Black or African American,Not in labor force,Tennessee,0,1
Female,25,White,Employed,Utah,0,1
Male,44,White,Unemployed,Minnesota,0,1
Female,69,White,Not in labor force,New Jersey,0,1
Male,26,Black or African American,Not in labor force,Colorado,0,0
Female,74,White,Not in labor force,South Carolina,0,1
Female,65,White,Not in labor force,Georgia,1,0
Female,39,White,Employed,California,0,1
Female,50,White,Employed,Virginia,1,0
Female,68,White,Not in labor force,West Virginia,1,0
Male,18,White,Employed,Florida,0,1
Female,55,White,Employed,Michigan,1,0
Female,51,Black or African American,Employed,Illinois,0,0
Female,56,White,Employed,Nebraska,1,0
Female,51,White,Not in labor force,Michigan,1,0
Female,24,Other Asian or Pacific Islander,Not in labor force,Utah,1,0
Female,68,White,Not in labor force,Florida,1,0
Female,28,White,Employed,Oregon,0,0
Female,27,White,Not in labor force,North Carolina,1,0
Female,62,White,Not in labor force,Arizona,0,1
Female,73,White,Not in labor force,Tennessee,1,0
Male,55,White,Not in labor force,Massachusetts,0,1
Female,58,White,Employed,Illinois,1,0
Male,34,White,Employed,Indiana,0,0
Female,66,White,Unemployed,California,0,1
Male,30,White,Employed,Texas,0,0
Female,31,Black or African American,Not in labor force,Texas,0,0
Female,74,White,Not in labor force,New York,0,1
Male,33,White,Employed,Colorado,1,0
Female,37,East Asian,Employed,Hawaii,0,1
Male,55,White,Not in labor force,California,0,0
Male,23,White,Employed,California,0,0
Female,63,White,Employed,California,0,1
Male,41,White,Employed,California,1,0
Female,54,White,Employed,New York,1,0
Female,32,White,Unemployed,Washington,0,0
Female,73,White,Not in labor force,Florida,0,1
Male,44,White,Employed,Texas,1,0
Female,28,White,Employed,Indiana,0,1
Male,44,White,Employed,New York,1,0
Male,40,White,Employed,Georgia,1,0
Male,23,Black or African American,Not in labor force,New York,0,1
Female,32,White,Employed,Ohio,0,1
Male,39,White,Employed,Colorado,0,1
Female,28,White,Employed,Illinois,1,0
Male,32,White,Unemployed,New Jersey,0,1
Male,57,White,Employed,Illinois,0,1
Male,32,Black or African American,Employed,Minnesota,1,0
Male,41,White,Employed,Georgia,0,0
Female,54,White,Not in labor force,Missouri,1,0
Male,24,White,Employed,Kansas,0,0
Male,19,Other Asian or Pacific Islander,Not in labor force,Washington,1,0
Female,42,Other,Employed,California,0,1
Female,18,Black or African American,Student,Texas,0,1
Female,18,White,Student,California,0,1
Male,56,White,Employed,Pennsylvania,1,0
Male,42,White,Employed,California,1,0
Male,70,White,Not in labor force,Arizona,0,1
Male,19,White,Employed,Ohio,1,0
Female,48,White,Unemployed,California,0,1
Male,40,Black or African American,Unemployed,Missouri,0,1
Male,57,White,Employed,Wisconsin,0,1
Male,40,White,Employed,New York,1,0
Male,58,Black or African American,Employed,South Carolina,0,0
Female,30,White,Unemployed,Wisconsin,1,0
Male,38,White,Employed,Pennsylvania,0,1
Male,27,White,Employed,New York,0,1
Female,26,White,Employed,Ohio,0,0
Female,38,White,Employed,Minnesota,0,1
Male,19,White,Student,New Mexico,0,0
Male,42,White,Employed,Ohio,0,0
Male,34,White,Employed,New Hampshire,0,1
Female,38,White,Employed,Michigan,0,1
Female,21,White,Employed,Colorado,0,1
Male,40,White,Employed,Virginia,1,0
Male,24,Black or African American,Employed,Louisiana,0,0
Female,45,Black or African American,Not in labor force,Michigan,0,1
Female,19,Other Asian or Pacific Islander,Student,Pennsylvania,0,1
Female,65,White,Not in labor force,California,0,1
Female,61,White,Not in labor force,Arizona,1,0
Male,40,White,Employed,Kentucky,1,0
Female,48,White,Employed,Minnesota,0,1
Female,37,White,Employed,Nevada,0,1
Male,20,White,Employed,Illinois,0,1
Male,42,White,Employed,New York,0,1
Female,19,Other,Employed,Georgia,0,1
Male,45,White,Employed,Virginia,0,1
Female,67,White,Employed,Indiana,1,0
Male,29,Black or African American,Unemployed,Maryland,0,1
Female,68,White,Employed,California,0,1
Male,54,White,Not in labor force,Texas,0,1
Male,18,White,Employed,New York,0,0
Female,62,Other Asian or Pacific Islander,Not in labor force,Florida,0,1
Male,31,East Asian,Employed,New Jersey,0,1
Male,43,White,Not in labor force,Florida,0,1
Male,42,Other Asian or Pacific Islander,Employed,Texas,1,0
Female,77,White,Not in labor force,Pennsylvania,0,0
Female,23,White,Student,California,0,1
Female,64,White,Not in labor force,Ohio,0,0
Male,41,White,Employed,Wisconsin,1,0
Male,19,Black or African American,Employed,Florida,0,1
Male,62,White,Other,Michigan,0,1
Female,19,Other,Unemployed,Virginia,1,0
Male,20,White,Employed,Virginia,1,0
Male,30,White,Employed,California,0,1
Male,19,White,Employed,Iowa,0,1
Male,42,White,Employed,Ohio,1,0
Male,19,Black or African American,Student,Illinois,0,0
Male,42,White,Employed,Virginia,1,0
Male,61,White,Employed,Michigan,0,1
Female,22,White,Unemployed,Massachusetts,0,1
Male,39,White,Employed,New Jersey,1,0
Female,66,White,Not in labor force,California,0,1
Male,38,White,Employed,Tennessee,1,0
Female,45,White,Not in labor force,California,0,0
Male,35,White,Employed,New York,0,1
Male,25,White,Employed,Missouri,0,1
Female,35,White,Not in labor force,Ohio,1,0
Male,25,Other,Unemployed,Texas,0,1
Female,19,Other,Employed,New York,0,0
Male,70,Black or African American,Not in labor force,Maryland,0,1
Female,82,White,Not in labor force,Arizona,0,1
Male,70,White,Employed,Ohio,1,0
Male,50,White,Employed,Maine,1,0
Male,20,White,Employed,California,0,1
Male,35,White,Employed,New Jersey,1,0
Female,20,Other,Unemployed,California,0,0
Female,24,White,Unemployed,Ohio,0,1
Male,56,White,Not in labor force,Wisconsin,1,0
Male,30,Black or African American,Employed,Alabama,0,0
Male,51,White,Employed,South Carolina,1,0
Female,31,White,Not in labor force,Idaho,1,0
Female,34,White,Employed,Louisiana,1,0
Male,30,White,Employed,Florida,1,0
Male,31,Black or African American,Not in labor force,Missouri,0,1
Female,19,White,Employed,Massachusetts,0,0
Male,61,White,Unemployed,Florida,0,1
Male,20,White,Other,Minnesota,1,0
Male,18,White,Student,Colorado,0,1
Male,20,White,Employed,Washington,0,0
Female,52,East Asian,Employed,New Jersey,0,0
Female,25,Black or African American,Employed,Wisconsin,0,1
Female,29,White,Unemployed,Ohio,1,0
Male,66,White,Not in labor force,Pennsylvania,1,0
Male,43,White,Employed,New Hampshire,1,0
Male,37,White,Employed,Virginia,1,0
Male,44,Other,Employed,North Carolina,1,0
Male,54,Black or African American,Employed,Virginia,0,1
Male,69,White,Not in labor force,Florida,1,0
Female,66,White,Employed,Nebraska,0,1
Female,62,White,Not in labor force,California,1,0
Male,42,White,Employed,California,0,1
Female,46,Black or African American,Unemployed,Illinois,0,0
Female,24,Black or African American,Employed,Texas,0,1
Female,66,White,Not in labor force,Oregon,1,0
Female,77,White,Not in labor force,New Jersey,0,1
Female,41,White,Employed,South Carolina,1,0
Male,33,White,Employed,California,1,0
Female,44,White,Employed,Pennsylvania,0,1
Male,75,White,Not in labor force,Washington,0,1
Female,53,White,Not in labor force,Utah,1,0
Female,18,White,Student,California,0,1
Male,35,White,Employed,Florida,0,1
Male,32,Other Asian or Pacific Islander,Employed,California,0,1
Male,45,White,Employed,California,1,0
Female,53,White,Employed,Arizona,1,0
Male,40,White,Employed,New York,1,0
Female,67,White,Not in labor force,Texas,0,0
Female,41,Black or African American,Unemployed,California,0,0
Female,38,White,Unemployed,Texas,1,0
Female,28,White,Unemployed,Texas,0,1
Male,67,White,Not in labor force,Florida,1,0
Female,44,White,Unemployed,California,0,1
Male,41,White,Not in labor force,Ohio,0,0
Male,57,Black or African American,Employed,Colorado,0,1
Female,69,White,Not in labor force,Nevada,0,1
Male,20,White,Employed,New York,0,1
Male,38,Black or African American,Unemployed,Arizona,0,1
Female,36,Black or African American,Employed,California,0,0
Male,24,Black or African American,Employed,Florida,0,1
Male,27,White,Employed,California,0,0
Female,65,White,Not in labor force,Maryland,1,0
Male,18,White,Unemployed,Minnesota,1,0
Female,51,White,Employed,Kentucky,1,0
Female,45,Other Asian or Pacific Islander,Employed,California,0,1
Male,64,White,Employed,Texas,0,0
Female,20,White,Employed,New York,1,0
Female,32,White,Not in labor force,California,1,0
Male,42,White,Employed,North Carolina,0,1
Female,19,Other,Employed,Ohio,0,0
Male,55,White,Employed,Ohio,1,0
Male,20,Black or African American,Employed,Illinois,0,0
Female,20,Other,Student,Texas,1,0
Male,52,White,Employed,California,0,1
Female,48,White,Employed,Illinois,0,0
Male,20,White,Employed,Florida,1,0
Male,40,White,Unemployed,North Carolina,1,0
Male,54,White,Employed,Iowa,0,1
Female,55,White,Unemployed,California,0,1
Male,78,White,Unemployed,Georgia,1,0
Male,62,White,Not in labor force,California,0,1
Female,54,Black or African American,Employed,Arizona,1,0
Female,37,Black or African American,Employed,South Carolina,0,1
Male,76,White,Not in labor force,Ohio,0,1
Male,41,White,Employed,Virginia,0,1
Male,71,White,Not in labor force,Indiana,0,1
Male,40,White,Employed,Georgia,1,0
Female,69,White,Not in labor force,Massachusetts,1,0
Female,44,White,Unemployed,California,0,1
Female,43,White,Employed,Maryland,1,0
Female,26,White,Not in labor force,Missouri,0,0
Female,37,White,Not in labor force,Ohio,1,0
Male,35,White,Employed,North Carolina,1,0
Female,21,Other Asian or Pacific Islander,Unemployed,Wisconsin,0,1
Female,25,Black or African American,Employed,Illinois,0,1
Female,47,White,Not in labor force,California,0,0
Female,30,Black or African American,Employed,New York,0,0
Female,35,Other Asian or Pacific Islander,Employed,Hawaii,0,1
Male,32,Other,Employed,California,0,1
Female,35,White,Employed,New York,1,0
Male,40,White,Employed,California,1,0
Male,43,White,Employed,Missouri,1,0
Female,51,White,Employed,Michigan,1,0
Female,48,White,Unemployed,Illinois,1,0
Male,31,White,Employed,New York,1,0
Female,29,Other,Employed,Arkansas,0,0
Male,25,White,Other,Ohio,1,0
Female,28,White,Employed,Florida,1,0
Female,18,Other,Employed,Nevada,0,1
Female,28,Black or African American,Employed,North Carolina,0,1
Female,18,Other Asian or Pacific Islander,Student,Pennsylvania,0,0
Male,57,Black or African American,Employed,Mississippi,0,1
Male,65,Black or African American,Not in labor force,Michigan,0,1
Male,40,White,Unemployed,California,0,0
Female,31,White,Employed,Missouri,0,0
Female,59,White,Employed,Arizona,1,0
Female,20,White,Student,Michigan,0,1
Male,29,White,Employed,California,0,1
Female,25,White,Employed,Colorado,0,1
Female,63,White,Employed,Illinois,0,1
Male,28,American Indian or Alaska Native,Not in labor force,Oklahoma,0,1
Female,18,Other,Student,California,0,0
Male,73,White,Not in labor force,California,0,1
Male,20,White,Employed,Louisiana,1,0
Male,25,White,Unemployed,Florida,1,0
Male,20,White,Student,Ohio,0,0
Male,47,White,Not in labor force,Texas,1,0
Male,18,Other,Student,California,0,1
Female,23,Black or African American,Unemployed,Texas,0,1
Male,44,White,Employed,Texas,0,1
Female,34,Other,Employed,Oregon,0,0
Male,52,White,Unemployed,Arizona,0,0
Male,25,White,Employed,Florida,0,0
Female,54,White,Employed,Indiana,1,0
Male,39,White,Employed,Washington,0,0
Male,36,White,Employed,Florida,0,1
Male,44,White,Employed,Minnesota,0,1
Female,19,White,Student,Florida,0,1
Female,26,White,Employed,California,0,1
Male,34,White,Unemployed,West Virginia,1,0
Male,69,White,Not in labor force,Kansas,1,0
Female,25,Black or African American,Employed,California,0,1
Female,70,White,Not in labor force,Kentucky,0,1
Female,19,White,Student,Texas,0,1
Female,36,Black or African American,Employed,Oklahoma,0,1
Male,62,White,Not in labor force,New York,1,0
Male,31,Black or African American,Unemployed,Texas,0,0
Male,41,White,Not in labor force,California,0,1
Male,59,Other,Not in labor force,New York,0,0
Female,25,Other,Employed,California,0,0
Female,20,Other,Unemployed,Texas,0,0
Male,65,White,Employed,Pennsylvania,1,0
Female,34,Black or African American,Student,Wisconsin,0,1
Male,48,Black or African American,Employed,Georgia,0,1
Male,39,White,Employed,Ohio,0,0
Male,66,White,Not in labor force,Ohio,1,0
Male,42,White,Employed,New Jersey,0,1
Female,19,Black or African American,Student,Idaho,0,0
Male,59,White,Not in labor force,Florida,1,0
Female,32,Black or African American,Employed,Texas,1,0
Male,52,Black or African American,Employed,Texas,1,0
Male,30,White,Employed,West Virginia,1,0
Female,40,White,Employed,Pennsylvania,0,1
Female,52,White,Not in labor force,North Carolina,0,1
Male,40,White,Employed,Virginia,0,1
Male,40,White,Employed,New York,1,0
Male,40,White,Employed,California,1,0
Female,74,White,Not in labor force,Virginia,0,1
Male,49,Black or African American,Not in labor force,Illinois,0,1
Male,45,White,Employed,North Carolina,1,0
Male,41,White,Employed,Florida,0,1
Female,34,White,Employed,Texas,1,0
Female,50,East Asian,Employed,Massachusetts,0,1
Female,69,White,Not in labor force,Georgia,1,0
Male,39,White,Employed,New York,0,1
Female,45,White,Unemployed,Kentucky,1,0
Male,77,White,Not in labor force,Arizona,0,1
Male,49,Black or African American,Employed,New York,0,1
Female,71,White,Not in labor force,Florida,0,1
Male,39,White,Not in labor force,Texas,0,1
Female,22,White,Student,Texas,1,0
Male,36,White,Employed,Wisconsin,0,1
Male,32,White,Student,Washington,0,0
Male,35,White,Employed,Florida,1,0
Male,20,White,Student,California,0,1
Male,34,White,Employed,Florida,0,1
Female,31,White,Not in labor force,Idaho,0,1
Male,32,White,Employed,New York,0,1
Female,20,Black or African American,Student,Connecticut,0,1
Male,34,White,Employed,North Carolina,0,1
Female,26,Other,Employed,California,0,1
Male,28,White,Employed,Nevada,0,0
Female,62,White,Not in labor force,California,0,1
Male,45,White,Not in labor force,Iowa,1,0
Female,39,East Asian,Employed,New Jersey,0,1
Female,25,White,Employed,Texas,0,0
Male,39,White,Employed,Utah,1,0
Female,29,White,Employed,California,0,1
Male,68,Black or African American,Not in labor force,Connecticut,0,1
Female,46,White,Not in labor force,Nevada,0,1
Male,60,White,Not in labor force,Ohio,1,0
Female,21,White,Student,Minnesota,0,1
Male,58,Black or African American,Employed,Mississippi,0,0
Male,20,White,Student,California,0,1
Female,62,White,Not in labor force,Kentucky,0,1
Female,18,White,Student,California,1,0
Male,42,White,Employed,New York,1,0
Female,29,Other,Employed,Florida,1,0
Male,84,White,Not in labor force,Texas,1,0
Male,34,White,Not in labor force,Texas,0,0
Female,45,White,Employed,California,1,0
Female,26,White,Employed,Oregon,0,1
Male,30,Other Asian or Pacific Islander,Employed,New Jersey,1,0
Female,31,White,Not in labor force,Iowa,1,0
Female,29,Other,Student,California,0,1
Male,42,Black or African American,Employed,California,0,0
Male,69,White,Not in labor force,Arkansas,1,0
Female,25,White,Student,Florida,0,1
Female,22,American Indian or Alaska Native,Unemployed,California,0,0
Female,39,Other,Employed,New Jersey,0,1
Female,66,White,Not in labor force,California,0,1
Male,52,White,Employed,South Carolina,1,0
Female,64,Other Asian or Pacific Islander,Employed,Hawaii,0,0
Male,72,White,Not in labor force,Texas,1,0
Female,24,Other,Employed,California,0,0
Female,62,White,Not in labor force,Texas,1,0
Male,25,White,Employed,New York,1,0
Male,64,White,Not in labor force,Arizona,1,0
Male,35,White,Employed,Indiana,1,0
Female,29,Other,Employed,New Jersey,0,1
Male,50,White,Not in labor force,Florida,0,0
Female,31,White,Employed,California,1,0
Female,73,White,Not in labor force,North Carolina,0,1
Male,42,White,Employed,Texas,1,0
Male,51,White,Unemployed,California,1,0
Female,34,White,Not in labor force,Louisiana,0,1
Male,72,White,Not in labor force,New Jersey,0,1
Male,71,White,Not in labor force,Montana,1,0
Male,40,White,Employed,Ohio,1,0
Male,20,White,Employed,California,1,0
Male,68,White,Employed,Minnesota,1,0
Male,22,Black or African American,Employed,Kansas,0,1
Male,40,White,Employed,Maryland,1,0
Female,34,Other Asian or Pacific Islander,Unemployed,Alabama,0,1
Female,49,White,Employed,Minnesota,0,1
Male,43,Black or African American,Employed,California,0,1
Female,50,White,Employed,Texas,0,1
Female,60,Black or African American,Unemployed,Maryland,0,1
Male,37,White,Employed,Alabama,1,0
Male,63,White,Unemployed,Florida,0,1
Female,23,Other Asian or Pacific Islander,Unemployed,California,0,1
Male,30,Other,Employed,Texas,0,1
Female,28,White,Employed,Arkansas,1,0
Female,18,American Indian or Alaska Native,Student,Illinois,0,0
Female,18,East Asian,Student,California,0,1
Male,65,White,Employed,Florida,0,0
Male,24,White,Not in labor force,Pennsylvania,0,0
Female,45,White,Employed,Illinois,1,0
Male,20,Other,Employed,New Jersey,0,1
Male,18,Black or African American,Employed,Nevada,0,0
Male,37,White,Unemployed,Florida,0,0
Female,22,White,Unemployed,South Carolina,0,0
Male,58,White,Not in labor force,New York,0,1
Female,67,Black or African American,Unemployed,Massachusetts,1,0
Female,31,White,Employed,Florida,1,0
Female,22,White,Unemployed,New Jersey,0,1
Male,35,White,Employed,Texas,1,0
Male,39,White,Employed,South Dakota,1,0
Male,55,White,Employed,Wisconsin,1,0
Female,23,Black or African American,Employed,California,0,1
Male,20,Other,Employed,Texas,1,0
Female,25,Other,Employed,Minnesota,1,0
Male,65,Black or African American,Not in labor force,Pennsylvania,0,0
Male,29,White,Employed,Nevada,0,1
Female,21,White,Unemployed,Illinois,0,1
Male,52,Black or African American,Employed,Georgia,0,1
Male,42,White,Not in labor force,New York,0,0
Male,65,White,Not in labor force,Alabama,1,0
Female,72,White,Not in labor force,New York,0,1
Female,72,White,Not in labor force,Kansas,0,1
Male,18,Black or African American,Unemployed,Indiana,0,0
Male,22,Black or African American,Other,North Carolina,0,0
Male,30,White,Employed,Texas,1,0
Female,40,White,Employed,Arizona,0,1
Female,52,White,Not in labor force,Iowa,0,0
Female,71,White,Unemployed,New Jersey,1,0
Female,48,White,Not in labor force,Tennessee,0,0
Male,27,White,Student,Missouri,0,1
Female,24,Other,Employed,California,0,1
Female,31,Black or African American,Employed,Texas,0,0
Male,41,White,Employed,Colorado,0,0
Female,22,Black or African American,Unemployed,South Carolina,0,0
Female,19,Black or African American,Student,Virginia,0,1
Female,43,White,Employed,Iowa,1,0
Female,20,White,Student,Delaware,0,1
Female,68,White,Not in labor force,Texas,0,0
Male,38,White,Employed,Nevada,1,0
Male,65,White,Employed,Texas,1,0
Male,67,White,Not in labor force,New Mexico,0,1
Female,48,White,Not in labor force,New York,0,1
Male,29,White,Not in labor force,Alabama,0,1
Female,41,White,Employed,Missouri,1,0
Male,19,Other,Unemployed,Texas,0,0
Female,89,White,Not in labor force,Florida,1,0
Female,72,White,Employed,Illinois,1,0
Female,33,White,Employed,Texas,0,0
Female,36,White,Employed,Washington,0,1
Female,39,White,Employed,Texas,0,1
Female,48,White,Unemployed,Arizona,0,1
Female,31,White,Employed,Michigan,0,1
Female,19,White,Employed,Michigan,0,1
Male,55,White,Employed,Oklahoma,1,0
Female,28,American Indian or Alaska Native,Employed,South Carolina,1,0
Female,28,Black or African American,Employed,Illinois,1,0
Male,30,Black or African American,Employed,Tennessee,0,1
Female,81,Black or African American,Not in labor force,New York,0,1
Male,39,American Indian or Alaska Native,Employed,Pennsylvania,0,0
Male,54,Other,Employed,Pennsylvania,1,0
Male,19,White,Not in labor force,Texas,0,1
Female,53,Other Asian or Pacific Islander,Not in labor force,Virginia,0,1
Female,54,White,Employed,California,1,0
Female,22,Black or African American,Employed,Georgia,0,1
